Size,RDD,TF,Epsilon,Exact,Approximation,Greedy,E_runtime,A_runtime,G_runtime,E_memory,A_memory,G_memory
85,0.6,0.8,10,59412,61212,102497,241540785,240260591,9601137,46560,46620,36651
90,0.6,0.8,10,56937,60208,107943,4870704672,3498171068,6489511,141697,141609,36651
95,0.6,0.8,10,100470,102930,169323,1234678279,999598950,7847480,71567,71718,36556
10,0.6,1,10,1867,2236,2567,5428582,16318545,6153928,36552,36553,36549
100,0.6,1,10,182844,184086,248895,14479151,26622066,6907349,37173,37184,36556
15,0.6,1,10,3597,4040,5942,6058887,23742747,5864569,36558,36559,36550
20,0.6,1,10,7565,8046,9635,6106808,17787889,6575606,36558,36560,36550
25,0.6,1,10,11818,12177,15057,6976996,17642114,6560211,36560,36563,36550
30,0.6,1,10,17646,18333,22730,6179613,22532677,7847868,36562,36566,36551
35,0.6,1,10,18854,19671,26534,7109032,21539697,7139097,36582,36586,36551
40,0.6,1,10,28324,29561,44638,6672086,23449666,5709594,36619,36624,36551
45,0.6,1,10,35706,36706,49672,8118807,20954208,5949961,36656,36662,36552
5,0.6,1,10,496,568,568,5700785,17650315,5614702,36550,36551,36549
50,0.6,1,10,43998,45133,62939,11785661,21400165,6063058,36672,36678,36552
55,0.6,1,10,54506,55077,74955,6509081,38756519,6005676,36611,36617,36553
60,0.6,1,10,73412,74410,96814,8860367,20782805,7037715,36668,36675,36553
65,0.6,1,10,73834,74999,106778,12557086,20773454,6105760,36986,36993,36553
70,0.6,1,10,84680,85701,121502,10290137,17140429,5640158,36866,36874,36554
75,0.6,1,10,108631,109951,152046,10174788,16985323,5945716,36881,36890,36554
80,0.6,1,10,114628,115607,164133,8627263,22809040,6141123,36751,36761,36554
85,0.6,1,10,142345,143466,189617,11854840,30123693,6485054,36787,36797,36555
90,0.6,1,10,121606,123138,191207,53230598,50823299,8517981,38498,38508,36555
95,0.6,1,10,164996,166476,231063,12325150,21999248,6678609,37035,37046,36556
10,0.8,0.2,10,0,0,0,5914318,11263839,6030067,36552,36553,36549
100,0.8,0.2,10,0,0,0,6994851,15824971,7777506,36583,36591,36556
15,0.8,0.2,10,0,0,0,6668247,12518121,5763429,36553,36555,36550
20,0.8,0.2,10,0,0,0,5797185,11519927,5771111,36555,36556,36550
25,0.8,0.2,10,0,0,0,5953698,11420681,6634032,36557,36559,36550
30,0.8,0.2,10,0,0,0,5875289,11491843,5621546,36558,36560,36551
35,0.8,0.2,10,0,0,0,5807969,11394279,5717386,36560,36563,36551
40,0.8,0.2,10,0,0,0,5801406,11456451,5650159,36562,36565,36552
45,0.8,0.2,10,0,0,0,5767515,11688794,5704802,36564,36567,36552
5,0.8,0.2,10,0,0,0,5648616,11323681,5646636,36550,36551,36549
50,0.8,0.2,10,0,0,0,5807861,13159642,5715249,36565,36569,36552
55,0.8,0.2,10,0,0,0,6794865,12517192,5850746,36567,36571,36553
60,0.8,0.2,10,0,0,0,6059751,13599861,7788375,36569,36574,36553
65,0.8,0.2,10,0,0,0,7114345,12737919,6444572,36571,36576,36553
70,0.8,0.2,10,0,0,0,5736322,13298533,6366505,36573,36578,36554
75,0.8,0.2,10,0,0,0,6611883,14529558,5436870,36573,36579,36554
80,0.8,0.2,10,0,0,0,6539376,12795480,6786672,36576,36582,36555
85,0.8,0.2,10,0,0,0,6117338,12774883,6650542,36577,36583,36555
90,0.8,0.2,10,0,0,0,6477740,14033749,5715341,36583,36590,36555
95,0.8,0.2,10,0,0,0,6128914,14611093,6934180,36581,36589,36556
10,0.8,0.4,10,430,723,723,7164815,18948101,5864025,36558,36559,36549
100,0.8,0.4,10,1981,2089,3374,37525629805,40643641370,6488338,500447,499734,36556
15,0.8,0.4,10,728,892,1153,5652444,28537246,8443971,37023,37291,36915
20,0.8,0.4,10,606,624,1103,6946021,19580004,6601208,37700,38163,37652
25,0.8,0.4,10,73,75,75,7078519,19819131,6374422,38165,38168,38113
30,0.8,0.4,10,7,7,7,17443126,25822117,6169508,38212,38216,38114
35,0.8,0.4,10,355,355,515,14640484,21417947,6132547,38364,38368,38114
40,0.8,0.4,10,536,536,1090,26327026,39418976,6167034,39141,39146,38114
45,0.8,0.4,10,52,52,52,6413186,17979865,6125410,38129,38134,38115
5,0.8,0.4,10,156,156,156,6163330,17661258,6064474,38114,38114,38112
50,0.8,0.4,10,101,101,163,6188119,19359889,5847423,38131,38137,38115
55,0.8,0.4,10,639,672,841,164894006,194527727,5963030,44098,44104,38116
60,0.8,0.4,10,1935,2080,2863,693117719,566835230,6218043,56077,56206,38116
65,0.8,0.4,10,675,702,989,193216692,216627303,6246553,42642,42650,38116
70,0.8,0.4,10,118,118,118,1592233157,220270846,6009058,73172,73426,38117
75,0.8,0.4,10,846,862,1878,10301196,24431490,6370120,38263,38272,38117
80,0.8,0.4,10,1145,1145,1757,1507084418,1459353351,6510326,64950,65123,38118
